objective_name,target_name,regularizer_pass,direction_score,dplus_vs_bp_forward_cosine_mean,dplus_vs_bp_forward_sign_agreement_mean,dplus_vs_bp_forward_norm_ratio_mean,dplus_vs_ep_forward_cosine_mean,dplus_vs_ep_forward_sign_agreement_mean,dplus_vs_ep_forward_norm_ratio_mean,dplus_raw_free_mse_decrease_mean,dplus_bp_scaled_free_mse_decrease_mean,dplus_ep_scaled_free_mse_decrease_mean,dplus_raw_feedforward_ce_decrease_mean,dplus_bp_scaled_feedforward_ce_decrease_mean,dplus_ep_scaled_feedforward_ce_decrease_mean,dplus_bp_scaled_free_mse_decrease_positive_rate_mean,dplus_ep_scaled_free_mse_decrease_positive_rate_mean
resnorm_layergain_beta_div1,direct_plus,True,0.5762363125880559,0.07623631258805587,0.5684910549057854,7619.366782496406,0.9974635011619991,0.987894313202964,3692.28642089276,0.03210632668601137,0.0004273735814623667,0.0007830527093674666,-0.007859614160325804,2.232193946838379e-05,3.429916169908312e-05,1.0,1.0
layergain_beta_div1,direct_plus,True,0.576131044783526,0.07613104478352596,0.5684910549057854,0.1705307509080123,0.9972550902101728,0.987894313202964,0.08307989758119713,6.510151757134333e-05,0.00042754577265840003,0.0007834119929207,2.8279092576768666e-06,2.2275580300225152e-05,3.4262736638387047e-05,1.0,1.0
resnorm_beta_div1,direct_plus,True,0.5760209514862961,0.07602095148629606,0.5684910549057854,7619.196293696762,0.9971543219354418,0.987894313202964,3692.2058101419952,0.03208236893018083,0.0004265093141131,0.0007814897431267332,-0.008226318491829799,2.2252400716145832e-05,3.419650925530328e-05,1.0,1.0
resnorm_beta_div2,direct_plus,True,0.5760209514862961,0.07602095148629606,0.5684910549057854,7619.196293696762,0.9971543219354418,0.987894313202964,3692.2058101419952,0.03208236893018083,0.0004265093141131,0.0007814897431267332,-0.0082263184918298,2.2252400716145832e-05,3.419650925530328e-05,1.0,1.0
beta_div1,direct_plus,True,0.5759756838281949,0.07597568382819493,0.5684910549057854,0.17052932982468116,0.9970690409342448,0.987894313202964,0.08307920428665233,6.497568554348416e-05,0.0004267228974235667,0.0007819020085864333,2.8345319959852436e-06,2.222922113206652e-05,3.4183263778686523e-05,1.0,1.0
beta_div2,direct_plus,True,0.5759756838281949,0.07597568382819493,0.5684910549057854,0.17052932982468116,0.9970690409342448,0.987894313202964,0.08307920428665233,6.497568554348416e-05,0.0004267228974235667,0.0007819020085864333,2.8345319959852436e-06,2.222922113206652e-05,3.4183263778686523e-05,1.0,1.0
raw,direct_plus,True,0.5759756838281949,0.07597568382819493,0.5684910549057854,0.17052932982468116,0.9970690409342448,0.987894313202964,0.08307920428665233,6.497568554348416e-05,0.0004267228974235667,0.0007819020085864333,2.8345319959852427e-06,2.222922113206652e-05,3.4183263778686523e-05,1.0,1.0
resnorm_layergain_beta_div1,nudge_0p1_plus,True,0.5751863554533985,0.07518635545339843,0.5468453003300561,62278.375274459715,0.9972001413504282,0.987653589910931,3691.446071557526,0.028965291049745334,0.00042688681019673334,0.006357593668831666,-1.4238015164931614,2.2037161721123586e-05,0.00027589003245033337,1.0,1.0
layergain_beta_div1,nudge_0p1_plus,True,0.5751054810567033,0.0751054810567034,0.5468453003300561,1.3931420873402265,0.9969079328907862,0.987653589910931,0.08304914252095273,0.0005309631427128334,0.00042718648910516666,0.006362429923481367,2.291467454698351e-05,2.2004048029581707e-05,0.0002755886978573,1.0,1.0
resnorm_beta_div1,nudge_0p1_plus,True,0.5750309843569994,0.07503098435699934,0.5468453003300561,62276.54455255686,0.9968154496616788,0.987653589910931,3691.34081184603,0.029073852631780833,0.00042637023660866666,0.006350232495201933,-1.5139428128798802,2.1984179814656574e-05,0.00027527080641846666,1.0,1.0
resnorm_beta_div2,nudge_0p1_plus,True,0.5750309833221965,0.0750309833221965,0.5468453003300561,622765.479857247,0.9968154529730479,0.987653589910931,36913.40996915093,0.027666762471199036,0.00042637023660866666,0.006350232495201933,-14.632716039816538,2.1984179814656574e-05,0.00027527080641846666,1.0,1.0
raw,nudge_0p1_plus,True,0.5749990331629912,0.07499903316299117,0.5468453003300561,0.13931294616159354,0.996698389450709,0.987653589910931,0.0083048389260052,5.301998721228705e-05,0.00042665004730219996,0.006354633304807833,2.2749106089274087e-06,2.196762296888563e-05,0.0002751681539747,1.0,1.0
beta_div2,nudge_0p1_plus,True,0.5749990329560306,0.07499903295603057,0.5468453003300561,13.931295395968123,0.9966983993848165,0.987653589910931,0.8304839348053332,0.0052822613053851,0.00042665004730219996,0.006354633304807833,0.00022857387860610002,2.1967622968885636e-05,0.00027516484260553336,1.0,1.0
beta_div1,nudge_0p1_plus,True,0.5749990319212277,0.07499903192122774,0.5468453003300561,1.393129508025546,0.9966983695824941,0.987653589910931,0.08304839172509744,0.0005303091473049,0.00042665004730219996,0.006354633304807833,2.2871626747979055e-05,2.1967622968885636e-05,0.0002751681539747,1.0,1.0
resnorm_layergain_beta_div1,nudge_0p01_plus,True,0.5714465876420338,0.07144658764203383,0.5063600457376903,115667.66056144731,0.9398855103386774,0.9898327423466576,3440.5025987519098,0.029994691411654163,0.0004258851210275333,0.0125291413731045,-1.1070824753906991,2.100070317586263e-05,0.0005181928475697334,1.0,1.0
layergain_beta_div1,nudge_0p01_plus,True,0.5712916712380118,0.07129167123801176,0.5063600457376903,2.5889283193492445,0.9323780834674835,0.9898327423466576,0.07702489418626317,0.0009785029623243,0.0004270821809768,0.0125689738326602,3.994835747612847e-05,2.094109853108724e-05,0.0005169841978284333,1.0,1.0
resnorm_beta_div2,nudge_0p01_plus,True,0.5711876530614164,0.07118765306141638,0.5063600457376903,11557641.729855293,0.9305669897132449,0.9898327423466576,343788.6914151706,0.03326358728938634,0.00042611526118380003,0.012542573942078467,-741.6524805095461,2.087818251715766e-05,0.0005158980687458666,1.0,1.0
resnorm_beta_div1,nudge_0p01_plus,True,0.5711876516126924,0.07118765161269237,0.5063600457376903,115576.41647235076,0.9305669864018759,0.9898327423466576,3437.8869113491996,0.029209948248333367,0.00042611526118380003,0.012542573942078467,-2.1876151164372764,2.087818251715766e-05,0.0005158980687458666,1.0,1.0
raw,nudge_0p01_plus,True,0.5711360501332414,0.0711360501332415,0.5063600457376903,0.025883709791276466,0.9275934199492136,0.9898327423466576,0.0007700817958866333,9.763571951124404e-06,0.00042670302920866664,0.012561619281768735,3.8743019104003906e-07,2.087487114800347e-05,0.0005155470636155333,1.0,1.0
beta_div1,nudge_0p01_plus,True,0.5711360493053992,0.0711360493053992,0.5063600457376903,2.588371040503987,0.9275934298833212,0.9898327423466576,0.07700818180260077,0.0009776535961362332,0.00042670302920866664,0.012561619281768735,3.982914818657769e-05,2.087487114800347e-05,0.0005155437522463667,1.0,1.0
beta_div2,nudge_0p01_plus,True,0.5711360486845175,0.07113604868451749,0.5063600457376903,258.8371032809553,0.9275934133264755,0.9898327423466576,7.7008181708163805,0.08995299041271206,0.00042669971783950003,0.012561619281768735,0.003878533840179367,2.087487114800347e-05,0.0005155437522463667,1.0,1.0
resnorm_layergain_beta_div1,gradual_100_0p01_plus,True,0.56518672613634,0.06518672613634001,0.5303053193622166,356432.67680096446,0.8742733432186974,0.9830989241600037,3114.151214532658,-0.07834900584485796,0.0004239711496564667,0.04200519952509133,-5.4400540408160944,1.9229120678371855e-05,0.0016226073106129335,1.0,1.0
layergain_beta_div1,gradual_100_0p01_plus,True,0.5647669829842117,0.06476698298421167,0.5303053193622166,8.175198483737336,0.8572335806157855,0.9830989241600037,0.06993407315216056,0.003048211336135833,0.00042497780587929997,0.04213566912545089,0.0001136196984184596,1.906686358981662e-05,0.0016114612420399332,1.0,1.0
resnorm_beta_div2,gradual_100_0p01_plus,True,0.564359002850122,0.0643590028501219,0.5303053193622166,35567953.4537898,0.8531714975833893,0.9830989241600037,310804.42463200784,0.033037859532568166,0.00042159689797293336,0.04182496501339803,-1786.3973450793162,1.8907917870415582e-05,0.0015996032290987998,1.0,1.0
resnorm_beta_div1,gradual_100_0p01_plus,True,0.5643590011944373,0.06435900119443734,0.5303053193622166,355679.53471279267,0.8531715008947584,0.9830989241600037,3108.044260621329,0.0284634795453813,0.00042159689797293336,0.041824960046344305,-3.206007632944319,1.8907917870415582e-05,0.0015995966063605,1.0,1.0
raw,gradual_100_0p01_plus,True,0.5641812115079826,0.06418121150798263,0.5303053193622166,0.08171006127637893,0.8465615544054242,0.9830989241600037,0.0006989778792609,3.0308961868286133e-05,0.00042194624741866664,0.04186912874380744,1.1059972974989148e-06,1.885162459479438e-05,0.0015952322218152667,1.0,1.0
beta_div1,gradual_100_0p01_plus,True,0.5641812104731798,0.06418121047317976,0.5303053193622166,8.171006664316574,0.8465615378485786,0.9830989241600037,0.06989779229555958,0.0030259274774126995,0.00042194624741866664,0.04186912874380744,0.00011238455772394233,1.885162459479438e-05,0.0015952355331844,1.0,1.0
beta_div2,gradual_100_0p01_plus,True,0.5641812081966135,0.06418120819661348,0.5303053193622166,817.1006511308778,0.8465615312258402,0.9830989241600037,6.989779115496487,0.2276890393760469,0.00042194624741866664,0.041869130399492,0.0103443066279093,1.885162459479438e-05,0.0015952355331844334,1.0,1.0
resnorm_layergain_beta_div1,nudge_0p001_plus,True,0.5379241265925682,0.03792412659256817,0.5013302746746274,164564.12467512907,0.5953718705309762,0.9902444945441352,1224.3949991089996,0.03625885314411583,0.00038230750295843334,0.04340164860089616,-7.798510736889308,1.0182460149129232e-05,0.0009973711437648973,1.0,1.0
layergain_beta_div1,nudge_0p001_plus,True,0.5370112917799916,0.037011291779991635,0.5013302746746274,3.609578799302762,0.47323213683234316,0.9902444945441352,0.02585600642275307,0.0012503597471448665,0.00040753185749050003,0.04619935486051766,2.956059243943956e-05,9.41422250535753e-06,0.0009371770752800666,1.0,1.0
resnorm_beta_div2,nudge_0p001_plus,True,0.5367350443266332,0.0367350443266332,0.5013302746746274,158175680.52456322,0.43638366791937083,0.9902444945441352,1176843.1454434444,0.022628421584765097,0.00040760636329643333,0.046272544397248094,-13619.455048733287,9.242031309339736e-06,0.0009262727366553333,1.0,1.0
resnorm_beta_div1,nudge_0p001_plus,True,0.5367350439127121,0.03673504391271207,0.5013302746746274,158175.66391773024,0.43638366791937083,0.9902444945441352,1176.8430221130336,0.034163668751716565,0.00040760636329643333,0.046272541085878936,-1.2266788515779707,9.242031309339736e-06,0.0009262661139169999,1.0,1.0
beta_div2,nudge_0p001_plus,True,0.5363149560160106,0.03631495601601067,0.5013302746746274,3567.4740692818705,0.38036232855584884,0.9902444945441352,25.52644002287644,0.09905679358376397,0.00041270752747849996,0.04688328007856996,0.004803233676486499,9.000301361083984e-06,0.0009057124455769666,1.0,1.0
beta_div1,nudge_0p001_plus,True,0.5363149553433888,0.0363149553433888,0.5013302746746274,3.567473726029325,0.3803623219331105,0.9902444945441352,0.025526437655993064,0.0012507074409060669,0.00041270752747849996,0.0468832734558317,2.8679768244425457e-05,9.000301361083984e-06,0.0009057124455769666,1.0,1.0
raw,nudge_0p001_plus,True,0.5363149551364282,0.03631495513642823,0.5013302746746274,0.0035674741044868,0.38036232524447966,0.9902444945441352,2.5526440315542534e-05,1.2384520636664495e-06,0.00041270752747849996,0.0468832718001471,1.3245476616753473e-08,9.000301361083984e-06,0.0009057124455769666,1.0,1.0
