target_name,target_mode,beta_sign,seed,step_lr,pair,scope,cosine,norm_ratio,sign_agreement
nudge_0p001_plus,nudge_0.001,plus,2025,0.0001,dplus_vs_bp,full,0.0283941800686686,0.0076989868232396,0.2600722064574559
nudge_0p001_plus,nudge_0.001,plus,2025,0.0001,dplus_vs_bp,forward,0.0600344091653823,0.0036898869684247,0.5201444129149119
nudge_0p001_plus,nudge_0.001,plus,2025,0.0001,ep_vs_bp,full,0.014277139911428,321.070477804118,0.2600056926409403
nudge_0p001_plus,nudge_0.001,plus,2025,0.0001,ep_vs_bp,forward,0.0357790670047203,128.88451546064525,0.5200113852818807
nudge_0p001_plus,nudge_0.001,plus,2025,0.0001,dplus_vs_ep,full,0.3917106141646703,2.402261807006128e-05,0.9253895580768584
nudge_0p001_plus,nudge_0.001,plus,2025,0.0001,dplus_vs_ep,forward,0.4032783309618632,2.8637654586453415e-05,0.991771161556244
gradual_100_0p01_plus,gradual_clamp_100_0.01,plus,7,0.001,dplus_vs_bp,full,0.0539327605317036,0.0705179845176136,0.26946027080218
gradual_100_0p01_plus,gradual_clamp_100_0.01,plus,7,0.001,dplus_vs_bp,forward,0.0604458469897508,0.0628706971535478,0.53892054160436
gradual_100_0p01_plus,gradual_clamp_100_0.01,plus,7,0.001,ep_vs_bp,full,0.0369561531891425,177.44857894747506,0.2696598172187805
gradual_100_0p01_plus,gradual_clamp_100_0.01,plus,7,0.001,ep_vs_bp,forward,0.0718890614807605,91.32665839080708,0.539319634437561
gradual_100_0p01_plus,gradual_clamp_100_0.01,plus,7,0.001,dplus_vs_ep,full,0.5266335010528564,0.0003972031931056,0.9219973186651864
gradual_100_0p01_plus,gradual_clamp_100_0.01,plus,7,0.001,dplus_vs_ep,forward,0.8353061079978943,0.0006886074549067,0.9835233489672344
nudge_0p001_plus,nudge_0.001,plus,2025,0.001,dplus_vs_bp,full,0.0283941800686686,0.0076989868232396,0.2600722064574559
nudge_0p001_plus,nudge_0.001,plus,2025,0.001,dplus_vs_bp,forward,0.0600344091653823,0.0036898869684247,0.5201444129149119
nudge_0p001_plus,nudge_0.001,plus,2025,0.001,ep_vs_bp,full,0.014277139911428,321.070477804118,0.2600056926409403
nudge_0p001_plus,nudge_0.001,plus,2025,0.001,ep_vs_bp,forward,0.0357790670047203,128.88451546064525,0.5200113852818807
nudge_0p001_plus,nudge_0.001,plus,2025,0.001,dplus_vs_ep,full,0.3917106141646703,2.402261807006128e-05,0.9253895580768584
nudge_0p001_plus,nudge_0.001,plus,2025,0.001,dplus_vs_ep,forward,0.4032783309618632,2.8637654586453415e-05,0.991771161556244
direct_plus,direct_clamp,plus,7,0.001,dplus_vs_bp,full,0.0796633486946423,0.1332577049854575,0.2891391019026438
direct_plus,direct_clamp,plus,7,0.001,dplus_vs_bp,forward,0.0798018593341112,0.1330245167789714,0.5782782038052877
direct_plus,direct_clamp,plus,7,0.001,ep_vs_bp,full,0.05594346486032,2.4719775397796138,0.2893291413784027
direct_plus,direct_clamp,plus,7,0.001,ep_vs_bp,forward,0.0865673472483952,1.6014139132909986,0.5786582827568054
direct_plus,direct_clamp,plus,7,0.001,dplus_vs_ep,full,0.6689881483713785,0.05385611464847,0.9058912793795268
direct_plus,direct_clamp,plus,7,0.001,dplus_vs_ep,forward,0.997035930554072,0.0830673661096568,0.9896617035071056
nudge_0p1_plus,nudge_0.1,plus,42,0.001,dplus_vs_bp,full,0.073751342172424,0.1650053351257017,0.258295327425003
nudge_0p1_plus,nudge_0.1,plus,42,0.001,dplus_vs_bp,forward,0.0738586119065682,0.1647730270480384,0.5165906548500061
nudge_0p1_plus,nudge_0.1,plus,42,0.001,ep_vs_bp,full,0.0491678658872842,30.3107533541552,0.2591790134708087
nudge_0p1_plus,nudge_0.1,plus,42,0.001,ep_vs_bp,forward,0.0751131872336069,19.840769890345445,0.5183580269416174
nudge_0p1_plus,nudge_0.1,plus,42,0.001,dplus_vs_ep,full,0.6756494541962942,0.0054451954287974,0.9122576713562012
nudge_0p1_plus,nudge_0.1,plus,42,0.001,dplus_vs_ep,forward,0.9965607027212778,0.00830469849366,0.9863739709059396
nudge_0p01_plus,nudge_0.01,plus,42,0.001,dplus_vs_bp,full,0.0682423803955316,0.0322483456307144,0.2418947095672289
nudge_0p01_plus,nudge_0.01,plus,42,0.001,dplus_vs_bp,forward,0.0699684588859478,0.0314905585404347,0.4837894191344579
nudge_0p01_plus,nudge_0.01,plus,42,0.001,ep_vs_bp,full,0.0382121074944734,69.3054736522043,0.2423128063480059
nudge_0p01_plus,nudge_0.01,plus,42,0.001,ep_vs_bp,forward,0.0648114122450351,40.9525716931018,0.4846256126960118
nudge_0p01_plus,nudge_0.01,plus,42,0.001,dplus_vs_ep,full,0.5905589958031973,0.0004654756611437,0.9210566182931264
nudge_0p01_plus,nudge_0.01,plus,42,0.001,dplus_vs_ep,forward,0.925767183303833,0.0007688535642092,0.9883314073085784
nudge_0p01_plus,nudge_0.01,plus,7,0.001,dplus_vs_bp,full,0.0690915429343779,0.0203093131373442,0.2560053120056788
nudge_0p01_plus,nudge_0.01,plus,7,0.001,dplus_vs_bp,forward,0.0730162244290113,0.019206397334354,0.5120106240113577
nudge_0p01_plus,nudge_0.01,plus,7,0.001,ep_vs_bp,full,0.042237978739043,44.41707545149788,0.2559578021367391
nudge_0p01_plus,nudge_0.01,plus,7,0.001,ep_vs_bp,forward,0.0743227563798427,25.247175507878374,0.5119156042734782
nudge_0p01_plus,nudge_0.01,plus,7,0.001,dplus_vs_ep,full,0.5819293856620789,0.0004572067037465,0.9370391170183816
nudge_0p01_plus,nudge_0.01,plus,7,0.001,dplus_vs_ep,forward,0.9176954726378124,0.0007609231391881,0.9904408752918245
nudge_0p01_plusminus,nudge_0.01,plusminus,2025,0.001,dplus_vs_bp,full,-0.0195317428248624,0.0068882846122381,0.2590649873018265
nudge_0p01_plusminus,nudge_0.01,plusminus,2025,0.001,dplus_vs_bp,forward,-0.1011657789349556,0.001341746303123,0.518129974603653
nudge_0p01_plusminus,nudge_0.01,plusminus,2025,0.001,ep_vs_bp,full,0.0438888712475697,56.589946093821794,0.284264529744784
nudge_0p01_plusminus,nudge_0.01,plusminus,2025,0.001,ep_vs_bp,forward,0.0739373316367467,33.85792698212927,0.5685290594895681
nudge_0p01_plusminus,nudge_0.01,plusminus,2025,0.001,dplus_vs_ep,full,-0.1076373495161533,0.0001215461834134,0.5093120336532593
nudge_0p01_plusminus,nudge_0.01,plusminus,2025,0.001,dplus_vs_ep,forward,-0.9374567866325378,3.950811267979548e-05,0.5304446816444397
nudge_0p1_plus,nudge_0.1,plus,7,0.001,dplus_vs_bp,full,0.0789012275636196,0.1083990748089066,0.2813188831011454
nudge_0p1_plus,nudge_0.1,plus,7,0.001,dplus_vs_bp,forward,0.0790904474755128,0.1081373674467107,0.5626377662022909
nudge_0p1_plus,nudge_0.1,plus,7,0.001,ep_vs_bp,full,0.0527695938944816,20.62051426637186,0.2817179709672928
nudge_0p1_plus,nudge_0.1,plus,7,0.001,ep_vs_bp,forward,0.0837560606499513,13.025734650084772,0.5634359419345856
nudge_0p1_plus,nudge_0.1,plus,7,0.001,dplus_vs_ep,full,0.6541278958320618,0.0052515405578568,0.9206100006898243
nudge_0p1_plus,nudge_0.1,plus,7,0.001,dplus_vs_ep,forward,0.99648912747701,0.0083019136597743,0.9905358950297036
nudge_0p1_plus,nudge_0.1,plus,2025,0.0001,dplus_vs_bp,full,0.0719181640694538,0.1452852485098582,0.2806537399689356
nudge_0p1_plus,nudge_0.1,plus,2025,0.0001,dplus_vs_bp,forward,0.0720480401068925,0.1450284439900315,0.5613074799378713
nudge_0p1_plus,nudge_0.1,plus,2025,0.0001,ep_vs_bp,full,0.0465898138160506,28.047090503027988,0.2792284240325292
nudge_0p1_plus,nudge_0.1,plus,2025,0.0001,ep_vs_bp,forward,0.0753674134612083,17.4566596790703,0.5584568480650584
nudge_0p1_plus,nudge_0.1,plus,2025,0.0001,dplus_vs_ep,full,0.645987461010615,0.0051674018975214,0.9177118837833405
nudge_0p1_plus,nudge_0.1,plus,2025,0.0001,dplus_vs_ep,forward,0.9970453381538392,0.0083079046245813,0.9860509037971495
nudge_0p01_plus,nudge_0.01,plus,2025,0.001,dplus_vs_bp,full,0.0682364211728175,0.0278077488961386,0.2616400470336278
nudge_0p01_plus,nudge_0.01,plus,2025,0.001,dplus_vs_bp,forward,0.0704234670847654,0.0269541734990407,0.5232800940672556
nudge_0p01_plus,nudge_0.01,plus,2025,0.001,ep_vs_bp,full,0.0391305399437745,64.00577616069201,0.2609939128160476
nudge_0p01_plus,nudge_0.01,plus,2025,0.001,ep_vs_bp,forward,0.073152410176893,34.54146919828637,0.5219878256320953
nudge_0p01_plus,nudge_0.01,plus,2025,0.001,dplus_vs_ep,full,0.5574837426344553,0.0004333669391783,0.9238312343756356
nudge_0p01_plus,nudge_0.01,plus,2025,0.001,dplus_vs_ep,forward,0.9393176039059956,0.0007804686842626,0.99072594443957
nudge_0p01_plus,nudge_0.01,plus,7,0.0001,dplus_vs_bp,full,0.0690915429343779,0.0203093131373442,0.2560053120056788
nudge_0p01_plus,nudge_0.01,plus,7,0.0001,dplus_vs_bp,forward,0.0730162244290113,0.019206397334354,0.5120106240113577
nudge_0p01_plus,nudge_0.01,plus,7,0.0001,ep_vs_bp,full,0.042237978739043,44.41707545149788,0.2559578021367391
nudge_0p01_plus,nudge_0.01,plus,7,0.0001,ep_vs_bp,forward,0.0743227563798427,25.247175507878374,0.5119156042734782
nudge_0p01_plus,nudge_0.01,plus,7,0.0001,dplus_vs_ep,full,0.5819293856620789,0.0004572067037465,0.9370391170183816
nudge_0p01_plus,nudge_0.01,plus,7,0.0001,dplus_vs_ep,forward,0.9176954726378124,0.0007609231391881,0.9904408752918245
direct_plus,direct_clamp,plus,7,0.0001,dplus_vs_bp,full,0.0796633486946423,0.1332577049854575,0.2891391019026438
direct_plus,direct_clamp,plus,7,0.0001,dplus_vs_bp,forward,0.0798018593341112,0.1330245167789714,0.5782782038052877
direct_plus,direct_clamp,plus,7,0.0001,ep_vs_bp,full,0.05594346486032,2.4719775397796138,0.2893291413784027
direct_plus,direct_clamp,plus,7,0.0001,ep_vs_bp,forward,0.0865673472483952,1.6014139132909986,0.5786582827568054
direct_plus,direct_clamp,plus,7,0.0001,dplus_vs_ep,full,0.6689881483713785,0.05385611464847,0.9058912793795268
direct_plus,direct_clamp,plus,7,0.0001,dplus_vs_ep,forward,0.997035930554072,0.0830673661096568,0.9896617035071056
nudge_0p01_plusminus,nudge_0.01,plusminus,7,0.001,dplus_vs_bp,full,-0.043590729124844,0.0069054642892463,0.2482991218566894
nudge_0p01_plusminus,nudge_0.01,plusminus,7,0.001,dplus_vs_bp,forward,-0.1373349788288275,0.0021299183573252,0.4965982437133789
nudge_0p01_plusminus,nudge_0.01,plusminus,7,0.001,ep_vs_bp,full,0.0527453596393267,40.15129270241787,0.3001520236333211
nudge_0p01_plusminus,nudge_0.01,plusminus,7,0.001,ep_vs_bp,forward,0.0833288437376419,25.44286206389132,0.6003040472666422
nudge_0p01_plusminus,nudge_0.01,plusminus,7,0.001,dplus_vs_ep,full,-0.1915577078859011,0.0001714936823126,0.5303781727949778
nudge_0p01_plusminus,nudge_0.01,plusminus,7,0.001,dplus_vs_ep,forward,-0.9406556487083436,8.418814237728328e-05,0.5354807873566946
nudge_0p01_plusminus,nudge_0.01,plusminus,2025,0.0001,dplus_vs_bp,full,-0.0195317428248624,0.0068882846122381,0.2590649873018265
nudge_0p01_plusminus,nudge_0.01,plusminus,2025,0.0001,dplus_vs_bp,forward,-0.1011657789349556,0.001341746303123,0.518129974603653
nudge_0p01_plusminus,nudge_0.01,plusminus,2025,0.0001,ep_vs_bp,full,0.0438888712475697,56.589946093821794,0.284264529744784
nudge_0p01_plusminus,nudge_0.01,plusminus,2025,0.0001,ep_vs_bp,forward,0.0739373316367467,33.85792698212927,0.5685290594895681
nudge_0p01_plusminus,nudge_0.01,plusminus,2025,0.0001,dplus_vs_ep,full,-0.1076373495161533,0.0001215461834134,0.5093120336532593
nudge_0p01_plusminus,nudge_0.01,plusminus,2025,0.0001,dplus_vs_ep,forward,-0.9374567866325378,3.950811267979548e-05,0.5304446816444397
gradual_100_0p01_plus,gradual_clamp_100_0.01,plus,42,0.0001,dplus_vs_bp,full,0.0618649255484342,0.1085597965419137,0.2530216574668884
gradual_100_0p01_plus,gradual_clamp_100_0.01,plus,42,0.0001,dplus_vs_bp,forward,0.065073059250911,0.1034349208318917,0.5060433149337769
gradual_100_0p01_plus,gradual_clamp_100_0.01,plus,42,0.0001,ep_vs_bp,full,0.0332317283997933,271.1630967975143,0.2545990074674288
gradual_100_0p01_plus,gradual_clamp_100_0.01,plus,42,0.0001,ep_vs_bp,forward,0.0618932023644447,146.02745994037852,0.5091980149348577
gradual_100_0p01_plus,gradual_clamp_100_0.01,plus,42,0.0001,dplus_vs_ep,full,0.5263807276884714,0.0004006049071091,0.8915906151135763
gradual_100_0p01_plus,gradual_clamp_100_0.01,plus,42,0.0001,dplus_vs_ep,forward,0.8565528392791748,0.0007081610406415,0.98380841811498
nudge_0p001_plus,nudge_0.001,plus,42,0.001,dplus_vs_bp,full,0.0306754025320212,0.008593962253815,0.2414576138059298
nudge_0p001_plus,nudge_0.001,plus,42,0.001,dplus_vs_bp,forward,0.0516179899374643,0.0051908638200906,0.4829152276118596
nudge_0p001_plus,nudge_0.001,plus,42,0.001,ep_vs_bp,full,0.0071993555757217,400.2103134365918,0.2423413097858429
nudge_0p001_plus,nudge_0.001,plus,42,0.001,ep_vs_bp,forward,0.0170917627401649,169.9070462315765,0.4846826195716858
nudge_0p001_plus,nudge_0.001,plus,42,0.001,dplus_vs_ep,full,0.3632322351137797,2.1532437300883466e-05,0.9222633639971416
nudge_0p001_plus,nudge_0.001,plus,42,0.001,dplus_vs_ep,forward,0.4228942990303039,3.0553488610552094e-05,0.9880463480949402
nudge_0p1_plus,nudge_0.1,plus,2025,0.001,dplus_vs_bp,full,0.0719181640694538,0.1452852485098582,0.2806537399689356
nudge_0p1_plus,nudge_0.1,plus,2025,0.001,dplus_vs_bp,forward,0.0720480401068925,0.1450284439900315,0.5613074799378713
nudge_0p1_plus,nudge_0.1,plus,2025,0.001,ep_vs_bp,full,0.0465898138160506,28.047090503027988,0.2792284240325292
nudge_0p1_plus,nudge_0.1,plus,2025,0.001,ep_vs_bp,forward,0.0753674134612083,17.4566596790703,0.5584568480650584
nudge_0p1_plus,nudge_0.1,plus,2025,0.001,dplus_vs_ep,full,0.645987461010615,0.0051674018975214,0.9177118837833405
nudge_0p1_plus,nudge_0.1,plus,2025,0.001,dplus_vs_ep,forward,0.9970453381538392,0.0083079046245813,0.9860509037971495
