variant,family,best_test_error_mean,best_test_error_std,best_test_error_min,best_test_error_max,selected_test_error_mean,selected_test_error_std,selected_test_error_min,selected_test_error_max,selected_test_accuracy_mean,selected_test_accuracy_std,selected_test_accuracy_min,selected_test_accuracy_max,final_test_error_mean,final_test_error_std,final_test_error_min,final_test_error_max,final_state_test_error_mean,final_state_test_error_std,final_state_test_error_min,final_state_test_error_max,final_test_cost_mean,final_test_cost_std,final_test_cost_min,final_test_cost_max,final_train_error_mean,final_train_error_std,final_train_error_min,final_train_error_max,final_train_cost_mean,final_train_cost_std,final_train_cost_min,final_train_cost_max,final_train_energy_mean,final_train_energy_std,final_train_energy_min,final_train_energy_max,state_delta_mean,state_delta_std,state_delta_min,state_delta_max,saturation_mean,saturation_std,saturation_min,saturation_max,input_recon_energy_frac_mean,input_recon_energy_frac_std,input_recon_energy_frac_min,input_recon_energy_frac_max,weighted_input_recon_energy_frac_mean,weighted_input_recon_energy_frac_std,weighted_input_recon_energy_frac_min,weighted_input_recon_energy_frac_max,weight_abs_mean_mean,weight_abs_mean_std,weight_abs_mean_min,weight_abs_mean_max,weight_update_rel_mean_mean,weight_update_rel_mean_std,weight_update_rel_mean_min,weight_update_rel_mean_max,duration_sec_mean,duration_sec_std,duration_sec_min,duration_sec_max
dthreeq_ep_ce_nudge0p1_lr3e3,dthreeq,0.131591796875,0.007250606643026122,0.12646484375,0.13671875,0.134521484375,0.003107402847011195,0.13232421875,0.13671875,0.865478515625,0.003107402847011195,0.86328125,0.86767578125,0.134521484375,0.003107402847011195,0.13232421875,0.13671875,0.134521484375,0.003107402847011195,0.13232421875,0.13671875,0.7132432721555233,0.017481925340617724,0.7008816841989756,0.725604860112071,0.12390525477707007,0.0012667119885905408,0.12300955414012739,0.12480095541401273,0.709103386113598,0.014347864796483556,0.6989579136204568,0.7192488586067394,41.96145357751543,2.727611227415538,40.03274118216934,43.89016597286152,0.03896151608631762,0.000461195904540092,0.038635401334761864,0.039287630837873386,0.010829098757337324,0.0003765639451921142,0.01056282783814162,0.011095369676533028,0.6753662679857144,0.013084727649055005,0.6661139683350885,0.6846185676363403,0.6753662679857144,0.013084727649055005,0.6661139683350885,0.6846185676363403,0.18376486506580025,0.0030764660671442606,0.18158947504763223,0.18594025508396825,0.001320915309704061,0.00031419307244859,0.0010987472575738268,0.0015430833618342952,271.6644816370681,3.545926657596838,269.1571328518912,274.17183042224497
dthreeq_ep_ce_nudge0p05_lr3e3,dthreeq,0.13525390625,0.007595873626027366,0.1298828125,0.140625,0.138671875,0.004833737762017415,0.13525390625,0.14208984375,0.861328125,0.004833737762017415,0.85791015625,0.86474609375,0.138671875,0.004833737762017415,0.13525390625,0.14208984375,0.138671875,0.004833737762017415,0.13525390625,0.14208984375,0.7223805421963334,0.00862021194932515,0.7162851318717003,0.7284759525209665,0.12350716560509553,0.0014074577651006167,0.12251194267515923,0.12450238853503184,0.7222767996180589,0.000578085100370349,0.7218680317234841,0.7226855675126337,42.90030874264468,0.2629588460258093,42.71436875944684,43.086248725842516,0.020411131212081476,0.00018471510657424458,0.020280517907635232,0.02054174451652772,0.011869594573498189,5.933400382288264e-06,0.011865399025852378,0.011873790121144,0.6694295387162545,0.0010566058138891663,0.6686824055802124,0.6701766718522968,0.6694295387162545,0.0010566058138891663,0.6686824055802124,0.6701766718522968,0.17110859597907074,0.0003894092900571006,0.17083324202941433,0.17138394992872716,0.0012680787864057506,2.039985890366537e-05,0.00125365390783972,0.0012825036649717811,274.5295617082156,0.12433489029816684,274.4416436641477,274.61747975228354
dthreeq_ep_readout_nudge0p1_lr3e3,dthreeq_readout,0.136962890625,0.0010358009490037316,0.13623046875,0.1376953125,0.141845703125,0.0010358009490037316,0.14111328125,0.142578125,0.858154296875,0.0010358009490037316,0.857421875,0.85888671875,0.141845703125,0.0010358009490037316,0.14111328125,0.142578125,0.16455078125,0.0020716018980074633,0.1630859375,0.166015625,0.4601119081489742,0.015868345757723796,0.4488912932574749,0.47133252304047346,0.1207703025477707,0.0006333559942952679,0.12032245222929937,0.12121815286624203,0.403804067783295,0.006237190771155696,0.39939370789345663,0.4082144276731333,59.62479404279381,1.117579897665899,58.834545718636484,60.415042366951134,0.04980718216763892,0.00015060483060950642,0.04970068847063549,0.049913675864642355,6.829961283876607e-07,1.3798605540202073e-07,5.854252529037092e-07,7.805670038716123e-07,0.49387457724414974,0.00393683906289393,0.4910908116463374,0.49665834284196214,0.49387457724414974,0.00393683906289393,0.4910908116463374,0.49665834284196214,0.08864923209325665,0.0025448335156008865,0.08684976305738447,0.09044870112912884,0.00092369241915525,1.2185928463233059e-05,0.0009150756665038438,0.0009323091718066562,274.1010370068252,5.762694270922253,270.0261968099512,278.1758772036992
dthreeq_ep_readout_noinput_nudge0p1_lr3e3,dthreeq_readout,0.138671875,0.01242961138804478,0.1298828125,0.1474609375,0.154541015625,0.005869538711021146,0.150390625,0.15869140625,0.845458984375,0.005869538711021146,0.84130859375,0.849609375,0.154541015625,0.005869538711021146,0.150390625,0.15869140625,0.181396484375,0.004488470779016171,0.17822265625,0.1845703125,0.4918612085748464,0.0032609046327381572,0.4895554007962346,0.49416701635345817,0.12156648089171974,0.0013370848768455787,0.12062101910828026,0.12251194267515923,0.409517211614141,0.0013529425614850052,0.4085605367543591,0.41047388647392297,5.687393514973342,0.13142064936688122,5.594465082618082,5.780321947328604,0.04774570979539803,0.00010677075174524316,0.04767021147280658,0.047821208117989476,0.0005288341451230164,0.0001363302227371963,0.0004324341201448725,0.0006252341701011604,0.9236539884396396,0.0017869512871955657,0.9223904230668136,0.9249175538124657,0.0,0.0,0.0,0.0,0.07011967446213102,0.0022943015094219264,0.06849735830673225,0.0717419906175298,0.000934041179077966,2.6473062013595758e-05,0.0009153218974093804,0.0009527604607465516,276.05144192720763,0.46054466010493916,275.7257876750082,276.3770961794071
dthreeq_ep_tanh_nudge0p1_lr5e3_restorebest,dthreeq,0.154541015625,0.0017263349150062196,0.1533203125,0.15576171875,0.154541015625,0.0017263349150062196,0.1533203125,0.15576171875,0.845458984375,0.0017263349150062196,0.84423828125,0.8466796875,0.43310546875,0.3583871283552912,0.1796875,0.6865234375,0.43310546875,0.3583871283552912,0.1796875,0.6865234375,0.18595758557785302,0.17982367256913748,0.058803047286346555,0.3131121238693595,0.21556528662420382,0.09472190759127119,0.14858678343949044,0.2825437898089172,0.09812218030309601,0.029876233474678566,0.07699649301683827,0.11924786758935375,178.176100493996,171.22821711623064,57.09946704062686,299.25273394736513,0.07464773021823767,0.036205887201634195,0.04904630185908691,0.10024915857738845,0.0026218269951292605,0.0034735229726350677,0.00016567534657174952,0.005077978643686772,0.6045007652909582,0.4378977388228689,0.2948603047030518,0.9141412258788645,0.6045007652909582,0.4378977388228689,0.2948603047030518,0.9141412258788645,0.23584401627014848,0.1154919763391927,0.15417885662806902,0.31750917591222794,0.013636613874291478,0.016535442905563115,0.0019442900658448122,0.025328937682738143,271.527974589495,2.268757057845179,269.9237210890278,273.13222808996215
dthreeq_ep_tanh_nudge0p1_lr5e3_decay15_restorebest,dthreeq,0.1611328125,0.0020716018980074633,0.15966796875,0.16259765625,0.1611328125,0.0020716018980074633,0.15966796875,0.16259765625,0.8388671875,0.0020716018980074633,0.83740234375,0.84033203125,0.1640625,0.003452669830012439,0.16162109375,0.16650390625,0.1640625,0.003452669830012439,0.16162109375,0.16650390625,0.05472142930375412,0.0036618223309767984,0.0521321299020201,0.057310728705488145,0.15082603503184713,0.0037297630775166043,0.14818869426751594,0.15346337579617833,0.05203987335323528,0.0027716720582752507,0.050080005245603576,0.05399974146086699,58.65772543743158,2.8609145555662012,56.63475335479542,60.68069752006774,0.04984704767588147,0.00041711099676883695,0.04955210566155874,0.05014198969020419,9.757087548395153e-07,2.7597211080404166e-07,7.805670038716123e-07,1.1708505058074185e-06,0.512733544276539,0.005742399846551449,0.508673054404758,0.5167940341483203,0.512733544276539,0.005742399846551449,0.508673054404758,0.5167940341483203,0.08691306966527478,0.00654339506095332,0.08228619064569212,0.09153994868485743,0.0003013165360188037,1.167793654454765e-05,0.0002930589878978879,0.00030957408413971957,210.8564159849193,7.939140714395716,205.24259574897587,216.47023622086272
dthreeq_ep_tanh_nudge0p1_lr5e3_decay15,dthreeq,0.15869140625,0.005524271728019903,0.15478515625,0.16259765625,0.162109375,0.00621480569402239,0.15771484375,0.16650390625,0.837890625,0.00621480569402239,0.83349609375,0.84228515625,0.162109375,0.00621480569402239,0.15771484375,0.16650390625,0.162109375,0.00621480569402239,0.15771484375,0.16650390625,0.055787211342249066,0.0021545789176036037,0.054263693979009986,0.057310728705488145,0.1500796178343949,0.0026741697536911573,0.14818869426751594,0.1519705414012739,0.05315064598515535,0.0012008023375010331,0.05230155050944371,0.05399974146086699,59.934342098843516,1.0555059590459777,59.1879866776193,60.68069752006774,0.04966907034432338,0.00016541304068442135,0.04955210566155874,0.04978603502708802,9.757087548395153e-07,2.7597211080404156e-07,7.805670038716123e-07,1.1708505058074185e-06,0.5127045780342563,0.005783364299238844,0.5086151219201923,0.5167940341483203,0.5127045780342563,0.005783364299238844,0.5086151219201923,0.5167940341483203,0.08969788306027912,0.0026050741890599164,0.0878558174357008,0.09153994868485743,0.00029703798224764563,5.6271477740333e-06,0.0002930589878978879,0.0003010169765974034,271.40121250855736,3.9790341151064346,268.587610503193,274.21481451392174
dthreeq_ep_signed_nudge0p1_lr3e3,dthreeq,0.131103515625,0.007250606643026122,0.1259765625,0.13623046875,0.162841796875,0.030728761487110706,0.14111328125,0.1845703125,0.837158203125,0.030728761487110706,0.8154296875,0.85888671875,0.162841796875,0.030728761487110706,0.14111328125,0.1845703125,0.162841796875,0.030728761487110706,0.14111328125,0.1845703125,0.1349994057090953,0.004077277069956904,0.13211633544415236,0.13788247597403824,0.13420581210191082,0.005840949725167537,0.13007563694267515,0.1383359872611465,0.12031746017420368,0.010308495902597963,0.11302825281764292,0.12760666753076444,96.26869665741161,0.4105585570001718,95.97838791768262,96.5590053971406,0.05410294687474787,0.006993425487548252,0.049157848288779664,0.05904804546071608,0.008894951292618962,0.0016580404417106856,0.007722539652803798,0.010067362932434126,0.5332159934406608,0.09821010874219561,0.4637709595679861,0.6026610273133356,0.5332159934406608,0.09821010874219561,0.4637709595679861,0.6026610273133356,0.1914796379856783,0.013168963313477514,0.18216777472552148,0.2007915012458351,0.003877786944250372,0.00048615710453685056,0.003534021958910348,0.0042215519295903964,268.99785973411053,0.4824804118443693,268.6566945631057,269.33902490511537
dthreeq_ep_nudge0p1_lr3e3,dthreeq,0.16064453125,0.00621480569402239,0.15625,0.1650390625,0.16455078125,0.0020716018980074633,0.1630859375,0.166015625,0.83544921875,0.0020716018980074633,0.833984375,0.8369140625,0.16455078125,0.0020716018980074633,0.1630859375,0.166015625,0.16455078125,0.0020716018980074633,0.1630859375,0.166015625,0.0531903964583762,0.001958570059519881,0.05180547828786075,0.05457531462889165,0.1513236464968153,0.002181559535905936,0.14978105095541402,0.15286624203821655,0.052812302366468555,0.0011630549186457534,0.051989898346601775,0.053634706386335336,59.62479404279381,1.117579897665899,58.834545718636484,60.415042366951134,0.04980718216763892,0.00015060483060950642,0.04970068847063549,0.049913675864642355,6.829961283876607e-07,1.379860554020208e-07,5.854252529037092e-07,7.805670038716123e-07,0.49387457724414974,0.00393683906289389,0.4910908116463374,0.49665834284196214,0.49387457724414974,0.00393683906289389,0.4910908116463374,0.49665834284196214,0.08864923209325665,0.002544833515600877,0.08684976305738447,0.09044870112912884,0.00092369241915525,1.2185928463232982e-05,0.0009150756665038438,0.0009323091718066562,319.39320794143714,2.024339730286012,317.96178359072655,320.8246322921477
dthreeq_ep_input1over28_nudge0p1_lr3e3,dthreeq,0.156982421875,0.01070327647303856,0.1494140625,0.16455078125,0.180908203125,0.0017263349150062196,0.1796875,0.18212890625,0.819091796875,0.0017263349150062196,0.81787109375,0.8203125,0.180908203125,0.0017263349150062196,0.1796875,0.18212890625,0.180908203125,0.0017263349150062196,0.1796875,0.18212890625,0.045976147695910186,0.00015250680729346358,0.04586830909829587,0.046083986293524504,0.14604896496815287,0.0026037968654361145,0.1442078025477707,0.14789012738853502,0.04355226486778943,0.0003108792988327441,0.04333244000745427,0.04377208972812458,7.9513544489623635,0.17196210133118653,7.829758881003993,8.072950016920734,0.04779008255361662,0.00012178966198198882,0.047703964257750746,0.047876200849482506,0.0004590709691519912,0.00012266960325239628,0.0003723304608467584,0.0005458114774572239,0.9177322576958016,0.0009203432441711016,0.9170814767468289,0.9183830386447741,0.28537087078539203,0.00250968411243188,0.2835962561308553,0.2871454854399288,0.07075801202026807,0.002243583344882896,0.06917155902294418,0.07234446501759197,0.0009624037309848192,2.7489113817430375e-05,0.0009429659921957054,0.000981841469773933,301.97224391647615,38.51248145396169,274.7398071200587,329.2046807128936
dthreeq_ep_input1over784_nudge0p1_lr3e3,dthreeq,0.156982421875,0.011393810439041049,0.14892578125,0.1650390625,0.18115234375,0.0041432037960149265,0.17822265625,0.18408203125,0.81884765625,0.0041432037960149265,0.81591796875,0.82177734375,0.18115234375,0.0041432037960149265,0.17822265625,0.18408203125,0.18115234375,0.0041432037960149265,0.17822265625,0.18408203125,0.04593118844786659,0.00017613917087080447,0.04580663924571127,0.04605573765002191,0.14560111464968153,0.0026741697536911573,0.14371019108280256,0.1474920382165605,0.043442672723607655,0.00031528292303936587,0.0432197340307342,0.04366561141648111,5.772870218677886,0.13415895320144247,5.678005513112256,5.867734924243514,0.047747698146479126,0.0001072238560583618,0.047671879430755286,0.04782351686220296,0.0005255167353565621,0.0001346743900723721,0.0004302875608842256,0.0006207459098288987,0.9234571863635346,0.001752277694503952,0.9222181389232289,0.9246962338038403,0.015204469331528001,0.0003730791085569438,0.014940662563948355,0.015468276099107649,0.07014393653058638,0.0022923875961251543,0.06852297371625836,0.07176489934491441,0.0009716777935996589,2.6244584119410513e-05,0.0009531200701994028,0.0009902355169999148,333.0214761821553,54.88901684254402,294.2090801601298,371.8338722041808
dthreeq_ep_noinput_nudge0p1_lr3e3,dthreeq,0.156982421875,0.011393810439041049,0.14892578125,0.1650390625,0.181396484375,0.004488470779016171,0.17822265625,0.1845703125,0.818603515625,0.004488470779016171,0.8154296875,0.82177734375,0.181396484375,0.004488470779016171,0.17822265625,0.1845703125,0.181396484375,0.004488470779016171,0.17822265625,0.1845703125,0.045927976723760366,0.00017706121550004376,0.04580277553759515,0.04605317790992558,0.1455513535031847,0.0024630510889260683,0.14380971337579618,0.14729299363057324,0.043436718191121035,0.0003156531844457927,0.04321351768389629,0.04365991869834578,5.687393514973342,0.1314206493668806,5.594465082618082,5.780321947328604,0.04774570979539803,0.00010677075174524316,0.04767021147280658,0.047821208117989476,0.0005288341451230164,0.00013633022273719627,0.0004324341201448725,0.0006252341701011604,0.9236539884396396,0.0017869512871955657,0.9223904230668136,0.9249175538124657,0.0,0.0,0.0,0.0,0.07011967446213102,0.0022943015094219264,0.06849735830673225,0.0717419906175298,0.000934041179077966,2.6473062013595836e-05,0.0009153218974093804,0.0009527604607465516,309.9690998250153,4.055618136084315,307.1013447390869,312.83685491094366
dthreeq_ep_tanh_nudge0p1_lr5e3,dthreeq,0.154541015625,0.0017263349150062196,0.1533203125,0.15576171875,0.43310546875,0.3583871283552912,0.1796875,0.6865234375,0.56689453125,0.3583871283552912,0.3134765625,0.8203125,0.43310546875,0.3583871283552912,0.1796875,0.6865234375,0.43310546875,0.3583871283552912,0.1796875,0.6865234375,0.18595758557785302,0.17982367256913748,0.058803047286346555,0.3131121238693595,0.21556528662420382,0.09472190759127119,0.14858678343949044,0.2825437898089172,0.09812218030309601,0.029876233474678566,0.07699649301683827,0.11924786758935375,178.176100493996,171.22821711623064,57.09946704062686,299.25273394736513,0.07464773021823767,0.036205887201634195,0.04904630185908691,0.10024915857738845,0.0026218269951292605,0.0034735229726350677,0.00016567534657174952,0.005077978643686772,0.6045007652909582,0.4378977388228689,0.2948603047030518,0.9141412258788645,0.6045007652909582,0.4378977388228689,0.2948603047030518,0.9141412258788645,0.23584401627014848,0.1154919763391927,0.15417885662806902,0.31750917591222794,0.013636613874291478,0.016535442905563115,0.0019442900658448122,0.025328937682738143,319.6937814303674,16.107273964026604,308.30421878397465,331.0833440767601
