variant,family,seed,dataset,train_subset,test_subset,n_epochs,batch_size,best_epoch,best_test_error,final_test_error,final_test_cost,final_train_error,final_train_cost,final_train_energy,state_delta,saturation,weight_abs_mean,weight_update_rel_mean,duration_sec,device,curve_json,module_dir,training_iteration,config/experiment_name,config/variant,config/seed,config/dataset,config/train_subset,config/test_subset,config/n_epochs,config/batch_size,config/hidden_sizes,config/free_steps,config/weak_steps,config/epsilon,config/beta,config/infer_steps,config/infer_lr,config/weight_lr,config/activation,config/bias,config/state_clip,config/residual_norm_eps,config/conv_channels,config/kernel_sizes,config/strides,config/paddings,config/conv_free_steps,config/conv_weak_steps,config/conv_epsilon,target_mode,beta_sign,loss_mode,objective_name,weight_update,weak_mode,transpose_tied
epthreeq_tied_w10,threeq_mlp,42,mnist,3000,1000,3,64,0,0.9248046875,0.9542968757450581,0.998765267431736,0.9462860949496006,0.9983498428730254,27.3088764839984,,0.37048704633001295,0.0916413831531156,0.0005337121922621502,44.45584288984537,cuda,"[{""epoch"": 0.0, ""rho"": 1.2711689725835273, ""saturation"": 0.40196792523097313, ""state_delta_l1"": 0.04390848638053904, ""state_delta_l2"": 0.014568326766899925, ""state_delta_l3"": 0.03781319148045905, ""test_cost"": 0.9954572133719921, ""test_energy"": 28.8269202709198, ""test_error"": 0.9248046875, ""test_saturation"": 0.37187983446782175, ""train_cost"": 0.9951112688855922, ""train_energy"": 33.090532221692676, ""train_error"": 0.9194053956802856, ""weak_cost"": 0.4485270957997505, ""weight_abs_mean"": 0.09178784730058191, ""weight_update_rel_mean"": 0.0008775994768329312}, {""epoch"": 1.0, ""rho"": 1.346837601763137, ""saturation"": 0.3692334350266333, ""state_delta_l1"": 0.05620732618139145, ""state_delta_l2"": 0.014119513154505416, ""state_delta_l3"": 0.03638945813191698, ""test_cost"": 0.9978335313498974, ""test_energy"": 27.8850359916687, ""test_error"": 0.947265625, ""test_saturation"": 0.36860206528465345, ""train_cost"": 0.9967880363159991, ""train_energy"": 28.210570842661756, ""train_error"": 0.9293787999356047, ""weak_cost"": 0.4520925239045569, ""weight_abs_mean"": 0.09169542739260282, ""weight_update_rel_mean"": 0.0005555352443849116}, {""epoch"": 2.0, ""rho"": 1.391115777035977, ""saturation"": 0.37048704633001295, ""state_delta_l1"": 0.05818198113999468, ""state_delta_l2"": 0.012628078738108594, ""state_delta_l3"": 0.03500439297962696, ""test_cost"": 0.998765267431736, ""test_energy"": 26.9882333278656, ""test_error"": 0.9542968757450581, ""test_saturation"": 0.371915609529703, ""train_cost"": 0.9983498428730254, ""train_energy"": 27.3088764839984, ""train_error"": 0.9462860949496006, ""weak_cost"": 0.45550073778375666, ""weight_abs_mean"": 0.0916413831531156, ""weight_update_rel_mean"": 0.0005337121922621502}]",,1,_workspace_ThreeQ_threeq_mnist_comparable_screen_v1,epthreeq_tied_w10,42,mnist,3000,1000,3,64,"[128, 64]",15,10,0.05,0.5,10,0.05,0.0001,tanh,True,1.0,0.001,"[1, 8]",[5],[2],[2],10,10,0.05,,,,,ep,cost,True
dthreeq_dplus_direct,dthreeq,2025,mnist,3000,1000,3,64,0,0.8871093764901161,0.8871093764901161,0.29750996828079224,0.8762822962821798,0.30012617783343537,69.93885770757147,0.1483768661546105,0.010172308074272472,0.04596118882023661,0.0035152263075740563,44.008205058053136,cuda,"[{""epoch"": 0.0, ""objective"": 0.028918462785634588, ""saturation"": 0.010189236058864246, ""state_delta"": 0.14842909708262442, ""test_cost"": 0.29761472158133984, ""test_energy"": 70.17408609390259, ""test_error"": 0.8871093764901161, ""test_saturation"": 0.010098236386138614, ""train_cost"": 0.3002920474143738, ""train_energy"": 69.94809528107339, ""train_error"": 0.8761873105739025, ""weight_abs_mean"": 0.045958361785265314, ""weight_update_rel_mean"": 0.09099965244420631}, {""epoch"": 1.0, ""objective"": 0.028908104774482708, ""saturation"": 0.010180536955671253, ""state_delta"": 0.1483995449887787, ""test_cost"": 0.29756234399974346, ""test_energy"": 70.17393827438354, ""test_error"": 0.8871093764901161, ""test_saturation"": 0.010093401918316832, ""train_cost"": 0.30018322898986494, ""train_energy"": 69.94253345246011, ""train_error"": 0.8762348027939492, ""weight_abs_mean"": 0.04595977815610825, ""weight_update_rel_mean"": 0.005598681270744087}, {""epoch"": 2.0, ""objective"": 0.028902360654257712, ""saturation"": 0.010172308074272472, ""state_delta"": 0.1483768661546105, ""test_cost"": 0.29750996828079224, ""test_energy"": 70.17378854751587, ""test_error"": 0.8871093764901161, ""test_saturation"": 0.01008856745049505, ""train_cost"": 0.30012617783343537, ""train_energy"": 69.93885770757147, ""train_error"": 0.8762822962821798, ""weight_abs_mean"": 0.04596118882023661, ""weight_update_rel_mean"": 0.0035152263075740563}]",,1,_workspace_ThreeQ_threeq_mnist_comparable_screen_v1,dthreeq_dplus_direct,2025,mnist,3000,1000,3,64,"[128, 64]",15,10,0.05,0.5,10,0.05,0.0001,tanh,True,1.0,0.001,"[1, 8]",[5],[2],[2],10,10,0.05,direct_clamp,plus,dplus,,,,
epcnnthreeq_ep,legacy_conv,2025,mnist,3000,1000,3,64,2,0.8220703117549419,0.8220703117549419,0.9761030077934265,0.823328268020711,0.9761981253928327,27.20684408634267,,,,0.0013574539400263257,37.33300380874425,cuda,"[{""epoch"": 0.0, ""test_cost"": 0.9800763130187988, ""test_energy"": 26.342039227485657, ""test_error"": 0.8599609397351742, ""test_saturation"": 0.4712066302281369, ""train_cost"": 0.9811755291959072, ""train_energy"": 27.100259537392475, ""train_error"": 0.882741262304022, ""weak_cost"": 0.43763352454976834, ""weight_update_rel_mean"": 0.007310750885921603}, {""epoch"": 1.0, ""test_cost"": 0.9779096320271492, ""test_energy"": 27.00830638408661, ""test_error"": 0.8365234397351742, ""test_saturation"": 0.4787663874366287, ""train_cost"": 0.9785263880770257, ""train_energy"": 26.66673615638246, ""train_error"": 0.8442249247368346, ""weak_cost"": 0.4334888990889204, ""weight_update_rel_mean"": 0.0018364741888642888}, {""epoch"": 2.0, ""test_cost"": 0.9761030077934265, ""test_energy"": 27.580944657325745, ""test_error"": 0.8220703117549419, ""test_saturation"": 0.4830474195975918, ""train_cost"": 0.9761981253928327, ""train_energy"": 27.20684408634267, ""train_error"": 0.823328268020711, ""weak_cost"": 0.42899083330276166, ""weight_update_rel_mean"": 0.0013574539400263257}]",EPCNN3Q,1,_workspace_ThreeQ_threeq_mnist_comparable_screen_v1,epcnnthreeq_ep,2025,mnist,3000,1000,3,64,"[128, 64]",15,10,0.05,0.5,10,0.05,0.0001,tanh,True,1.0,0.001,"[1, 8]",[5],[2],[2],10,10,0.05,,,,,,,
epthreeq_cost_w10,threeq_mlp,2025,mnist,3000,1000,3,64,0,0.9011718742549419,0.9011718742549419,0.9888951927423477,0.9064874623684173,0.9875929659985482,206.73308271042845,,0.43408665999578655,0.09086093908928806,0.002779638595297671,44.97352030873299,cuda,"[{""epoch"": 0.0, ""rho"": 0.5859896768914893, ""saturation"": 0.4357550069216647, ""state_delta_l1"": 0.03282134274535991, ""state_delta_l2"": 0.011892514501480347, ""state_delta_l3"": 0.03524187064551292, ""test_cost"": 0.9940646439790726, ""test_energy"": 35.90998101234436, ""test_error"": 0.9011718742549419, ""test_saturation"": 0.36439607827970294, ""train_cost"": 0.9965819805226428, ""train_energy"": 40.52138543636241, ""train_error"": 0.90596504667972, ""weak_cost"": 0.4611710956756105, ""weight_abs_mean"": 0.09030072394996246, ""weight_update_rel_mean"": 0.0005459188832534761}, {""epoch"": 1.0, ""rho"": 0.5744062826988545, ""saturation"": 0.3494189939510669, ""state_delta_l1"": 0.07175924367410072, ""state_delta_l2"": 0.03164076646591755, ""state_delta_l3"": 0.038573155457035026, ""test_cost"": 0.9882777184247971, ""test_energy"": 75.35274982452393, ""test_error"": 0.9011718742549419, ""test_saturation"": 0.3719098081683168, ""train_cost"": 0.9916084852624447, ""train_energy"": 49.03556223118559, ""train_error"": 0.9063449857082773, ""weak_cost"": 0.4844381701438985, ""weight_abs_mean"": 0.09033125933550351, ""weight_update_rel_mean"": 0.0009897695216291031}, {""epoch"": 2.0, ""rho"": 0.6534840629455891, ""saturation"": 0.43408665999578655, ""state_delta_l1"": 0.0667355681987519, ""state_delta_l2"": 0.07884264111201814, ""state_delta_l3"": 0.04712941196370632, ""test_cost"": 0.9888951927423477, ""test_energy"": 716.4846572875977, ""test_error"": 0.9011718742549419, ""test_saturation"": 0.5134407874381188, ""train_cost"": 0.9875929659985482, ""train_energy"": 206.73308271042845, ""train_error"": 0.9064874623684173, ""weak_cost"": 0.5925936654527136, ""weight_abs_mean"": 0.09086093908928806, ""weight_update_rel_mean"": 0.002779638595297671}]",,1,_workspace_ThreeQ_threeq_mnist_comparable_screen_v1,epthreeq_cost_w10,2025,mnist,3000,1000,3,64,"[128, 64]",15,10,0.05,0.5,10,0.05,0.0001,tanh,True,1.0,0.001,"[1, 8]",[5],[2],[2],10,10,0.05,,,,,ep,cost,False
cnnthreeq_direct,legacy_conv,42,mnist,3000,1000,3,64,0,0.9281250014901161,0.9373046867549419,0.9902117550373077,0.9300911857726726,0.9896560628363427,23.70828794925771,,,,0.0012334410500883823,36.995542276185006,cuda,"[{""epoch"": 0.0, ""test_cost"": 0.9914605654776096, ""test_energy"": 24.831289768218994, ""test_error"": 0.9281250014901161, ""test_saturation"": 0.3962427717046894, ""train_cost"": 0.991924283352304, ""train_energy"": 26.54099338612658, ""train_error"": 0.929046353127094, ""weak_cost"": 0.47017912534957235, ""weight_update_rel_mean"": 0.006044783006452657}, {""epoch"": 1.0, ""test_cost"": 0.9907834343612194, ""test_energy"": 24.10644292831421, ""test_error"": 0.9314453117549419, ""test_saturation"": 0.39969539666508236, ""train_cost"": 0.9903204580570789, ""train_energy"": 24.215895388988738, ""train_error"": 0.9263867786590089, ""weak_cost"": 0.4620308178536435, ""weight_update_rel_mean"": 0.0016412660374341872}, {""epoch"": 2.0, ""test_cost"": 0.9902117550373077, ""test_energy"": 23.746981263160706, ""test_error"": 0.9373046867549419, ""test_saturation"": 0.4020198382050063, ""train_cost"": 0.9896560628363427, ""train_energy"": 23.70828794925771, ""train_error"": 0.9300911857726726, ""weak_cost"": 0.45650499932309413, ""weight_update_rel_mean"": 0.0012334410500883823}]",CNN3Q,1,_workspace_ThreeQ_threeq_mnist_comparable_screen_v1,cnnthreeq_direct,42,mnist,3000,1000,3,64,"[128, 64]",15,10,0.05,0.5,10,0.05,0.0001,tanh,True,1.0,0.001,"[1, 8]",[5],[2],[2],10,10,0.05,,,,,,,
threeq_direct_cost_w10,threeq_mlp,42,mnist,3000,1000,3,64,2,0.9298828132450581,0.9298828132450581,0.9984096586704254,0.9239171743392944,0.9983157578935015,32.598099120119784,,0.3902845594209877,0.09099994412233645,0.00026686456183639963,44.45082546910271,cuda,"[{""epoch"": 0.0, ""rho"": 0.6753214559656509, ""saturation"": 0.42936069585301984, ""state_delta_l1"": 0.017863356686652974, ""state_delta_l2"": 0.006348787331359184, ""state_delta_l3"": 0.034433127717768894, ""test_cost"": 0.9982274360954762, ""test_energy"": 38.05356979370117, ""test_error"": 0.9386718757450581, ""test_saturation"": 0.39794245049504945, ""train_cost"": 0.9980520187540257, ""train_energy"": 41.33358878277718, ""train_error"": 0.92861892187849, ""weak_cost"": 0.45425860615486796, ""weight_abs_mean"": 0.09095735534867075, ""weight_update_rel_mean"": 0.0004858022505082337}, {""epoch"": 1.0, ""rho"": 0.6755493651045129, ""saturation"": 0.39384790017755583, ""state_delta_l1"": 0.01829140324224817, ""state_delta_l2"": 0.006136652102020193, ""state_delta_l3"": 0.034181792447541624, ""test_cost"": 0.998324915766716, ""test_energy"": 33.99232220649719, ""test_error"": 0.9367187507450581, ""test_saturation"": 0.39000135365099015, ""train_cost"": 0.9982399078125649, ""train_energy"": 35.54673767089844, ""train_error"": 0.9270516722760302, ""weak_cost"": 0.4546950275593616, ""weight_abs_mean"": 0.09095967913720202, ""weight_update_rel_mean"": 0.00034898976077964855}, {""epoch"": 2.0, ""rho"": 0.6763986399833192, ""saturation"": 0.3902845594209877, ""state_delta_l1"": 0.01728488988381751, ""state_delta_l2"": 0.005854688931573579, ""state_delta_l3"": 0.03408199334715275, ""test_cost"": 0.9984096586704254, ""test_energy"": 31.865185141563416, ""test_error"": 0.9298828132450581, ""test_saturation"": 0.3891533879950495, ""train_cost"": 0.9983157578935015, ""train_energy"": 32.598099120119784, ""train_error"": 0.9239171743392944, ""weak_cost"": 0.45463849255379213, ""weight_abs_mean"": 0.09099994412233645, ""weight_update_rel_mean"": 0.00026686456183639963}]",,1,_workspace_ThreeQ_threeq_mnist_comparable_screen_v1,threeq_direct_cost_w10,42,mnist,3000,1000,3,64,"[128, 64]",15,10,0.05,0.5,10,0.05,0.0001,tanh,True,1.0,0.001,"[1, 8]",[5],[2],[2],10,10,0.05,,,,,direct,cost,False
bp_mlp_tanh,bp_mlp,42,mnist,3000,1000,3,64,2,0.123046875,0.123046875,0.4294007336720824,0.10400835884378311,0.38191003970643306,,,,,,33.79438240034506,cuda,"[{""epoch"": 0.0, ""test_cost"": 0.7728322520852089, ""test_error"": 0.17246093787252903, ""train_cost"": 1.3924435909758224, ""train_error"": 0.355575608129197}, {""epoch"": 1.0, ""test_cost"": 0.49506158754229546, ""test_error"": 0.13515625009313226, ""train_cost"": 0.5655330533676959, ""train_error"": 0.14280965068238846}, {""epoch"": 2.0, ""test_cost"": 0.4294007336720824, ""test_error"": 0.123046875, ""train_cost"": 0.38191003970643306, ""train_error"": 0.10400835884378311}]",,1,_workspace_ThreeQ_threeq_mnist_comparable_screen_v1,bp_mlp_tanh,42,mnist,3000,1000,3,64,"[128, 64]",15,10,0.05,0.5,10,0.05,0.0001,tanh,True,1.0,0.001,"[1, 8]",[5],[2],[2],10,10,0.05,,,,,,,
dthreeq_dplus_direct,dthreeq,42,mnist,3000,1000,3,64,0,0.8742187507450581,0.8742187507450581,0.29744837805628777,0.8767572197508304,0.2933272636951284,67.28806321164394,0.14316133865822395,0.006537963826777815,0.04492910486735705,0.0034872609738468207,44.10585544118658,cuda,"[{""epoch"": 0.0, ""objective"": 0.02827317402400869, ""saturation"": 0.006548543817147675, ""state_delta"": 0.1432102076735691, ""test_cost"": 0.2975502386689186, ""test_energy"": 67.92289280891418, ""test_error"": 0.8742187507450581, ""test_saturation"": 0.0068282023514851485, ""train_cost"": 0.29347934621445676, ""train_energy"": 67.28864523705016, ""train_error"": 0.8766622353107372, ""weight_abs_mean"": 0.044926209965343605, ""weight_update_rel_mean"": 0.09314322605708875}, {""epoch"": 1.0, ""objective"": 0.02827393929374979, ""saturation"": 0.006542430933822866, ""state_delta"": 0.14320225493176608, ""test_cost"": 0.2974993009120226, ""test_energy"": 67.9227647781372, ""test_error"": 0.8742187507450581, ""test_saturation"": 0.0068282023514851485, ""train_cost"": 0.29349014670290846, ""train_energy"": 67.28626575875789, ""train_error"": 0.8767572197508304, ""weight_abs_mean"": 0.04492765722045063, ""weight_update_rel_mean"": 0.005540442899375815}, {""epoch"": 2.0, ""objective"": 0.028258487780360466, ""saturation"": 0.006537963826777815, ""state_delta"": 0.14316133865822395, ""test_cost"": 0.29744837805628777, ""test_energy"": 67.92263793945312, ""test_error"": 0.8742187507450581, ""test_saturation"": 0.0068282023514851485, ""train_cost"": 0.2933272636951284, ""train_energy"": 67.28806321164394, ""train_error"": 0.8767572197508304, ""weight_abs_mean"": 0.04492910486735705, ""weight_update_rel_mean"": 0.0034872609738468207}]",,1,_workspace_ThreeQ_threeq_mnist_comparable_screen_v1,dthreeq_dplus_direct,42,mnist,3000,1000,3,64,"[128, 64]",15,10,0.05,0.5,10,0.05,0.0001,tanh,True,1.0,0.001,"[1, 8]",[5],[2],[2],10,10,0.05,direct_clamp,plus,dplus,,,,
dthreeq_dplus_layergain_direct,dthreeq_variant_objective,42,mnist,3000,1000,3,64,0,0.8742187507450581,0.8742187507450581,0.29744778387248516,0.8767572197508304,0.2933267684693032,67.28799681967877,0.14316117206707277,0.006537963826777815,0.04492912379590402,0.0038495634132982505,44.2133072251454,cuda,"[{""epoch"": 0.0, ""objective"": 0.0282904806923359, ""saturation"": 0.006548543817147675, ""state_delta"": 0.1432101750409508, ""test_cost"": 0.2975500412285328, ""test_energy"": 67.92286777496338, ""test_error"": 0.8742187507450581, ""test_saturation"": 0.0068282023514851485, ""train_cost"": 0.2934792479302021, ""train_energy"": 67.28863249433802, ""train_error"": 0.8766622353107372, ""weight_abs_mean"": 0.04492621393736078, ""weight_update_rel_mean"": 0.0971017906508326}, {""epoch"": 1.0, ""objective"": 0.02829122911900916, ""saturation"": 0.006542430933822866, ""state_delta"": 0.14320215866867958, ""test_cost"": 0.29749890230596066, ""test_energy"": 67.92271161079407, ""test_error"": 0.8742187507450581, ""test_saturation"": 0.0068282023514851485, ""train_cost"": 0.2934898486796846, ""train_energy"": 67.28622501454454, ""train_error"": 0.8767572197508304, ""weight_abs_mean"": 0.044927668803536706, ""weight_update_rel_mean"": 0.006249113178085143}, {""epoch"": 2.0, ""objective"": 0.028275755967231506, ""saturation"": 0.006537963826777815, ""state_delta"": 0.14316117206707277, ""test_cost"": 0.29744778387248516, ""test_energy"": 67.92255640029907, ""test_error"": 0.8742187507450581, ""test_saturation"": 0.0068282023514851485, ""train_cost"": 0.2933267684693032, ""train_energy"": 67.28799681967877, ""train_error"": 0.8767572197508304, ""weight_abs_mean"": 0.04492912379590402, ""weight_update_rel_mean"": 0.0038495634132982505}]",,1,_workspace_ThreeQ_threeq_mnist_comparable_screen_v1,dthreeq_dplus_layergain_direct,42,mnist,3000,1000,3,64,"[128, 64]",15,10,0.05,0.5,10,0.05,0.0001,tanh,True,1.0,0.001,"[1, 8]",[5],[2],[2],10,10,0.05,direct_clamp,plus,,layergain_beta_div1,,,
bp_cnn,bp_cnn,42,mnist,3000,1000,3,64,2,0.130859375,0.130859375,0.4642208255827427,0.1373005319148936,0.44874069665340666,,,,,,33.257824229076505,cuda,"[{""epoch"": 0.0, ""test_cost"": 1.2760261446237564, ""test_error"": 0.24960937537252903, ""train_cost"": 2.036395747610863, ""train_error"": 0.5872435411240192}, {""epoch"": 1.0, ""test_cost"": 0.5148107772693038, ""test_error"": 0.14980468759313226, ""train_cost"": 0.7232848234633182, ""train_error"": 0.20378989361702127}, {""epoch"": 2.0, ""test_cost"": 0.4642208255827427, ""test_error"": 0.130859375, ""train_cost"": 0.44874069665340666, ""train_error"": 0.1373005319148936}]",,1,_workspace_ThreeQ_threeq_mnist_comparable_screen_v1,bp_cnn,42,mnist,3000,1000,3,64,"[128, 64]",15,10,0.05,0.5,10,0.05,0.0001,tanh,True,1.0,0.001,"[1, 8]",[5],[2],[2],10,10,0.05,,,,,,,
threeq_direct_cost_w10,threeq_mlp,2025,mnist,3000,1000,3,64,2,0.9027343764901161,0.9027343764901161,0.9986063055694103,0.9068199091769279,0.9986301330809898,32.567173572296795,,0.3815306753889673,0.09034867582063308,0.00026576062689629787,43.95209546992555,cuda,"[{""epoch"": 0.0, ""rho"": 0.6241560096436358, ""saturation"": 0.42773984132835785, ""state_delta_l1"": 0.01798656424309345, ""state_delta_l2"": 0.006810206870370089, ""state_delta_l3"": 0.03378145531453985, ""test_cost"": 0.9984457418322563, ""test_energy"": 37.538904905319214, ""test_error"": 0.9037109389901161, ""test_saturation"": 0.3894656946163366, ""train_cost"": 0.9983412623405457, ""train_energy"": 41.13637924194336, ""train_error"": 0.9036854112401922, ""weak_cost"": 0.45735472630947194, ""weight_abs_mean"": 0.09029375689090992, ""weight_update_rel_mean"": 0.0004959982802171223}, {""epoch"": 1.0, ""rho"": 0.6298307078949948, ""saturation"": 0.38513210411086707, ""state_delta_l1"": 0.01821197232508913, ""state_delta_l2"": 0.00672990602857255, ""state_delta_l3"": 0.03361342990017952, ""test_cost"": 0.9985404685139656, ""test_energy"": 33.65162396430969, ""test_error"": 0.9066406264901161, ""test_saturation"": 0.3809637995049505, ""train_cost"": 0.9985347288720151, ""train_energy"": 35.44917431283504, ""train_error"": 0.9049677062541881, ""weak_cost"": 0.45735127748327054, ""weight_abs_mean"": 0.09030397837413541, ""weight_update_rel_mean"": 0.0003469796703201425}, {""epoch"": 2.0, ""rho"": 0.6288421661295789, ""saturation"": 0.3815306753889673, ""state_delta_l1"": 0.017223292684301415, ""state_delta_l2"": 0.006430761185177463, ""state_delta_l3"": 0.03353786603250402, ""test_cost"": 0.9986063055694103, ""test_energy"": 31.528133630752563, ""test_error"": 0.9027343764901161, ""test_saturation"": 0.3795511680074257, ""train_cost"": 0.9986301330809898, ""train_energy"": 32.567173572296795, ""train_error"": 0.9068199091769279, ""weak_cost"": 0.4572679933081282, ""weight_abs_mean"": 0.09034867582063308, ""weight_update_rel_mean"": 0.00026576062689629787}]",,1,_workspace_ThreeQ_threeq_mnist_comparable_screen_v1,threeq_direct_cost_w10,2025,mnist,3000,1000,3,64,"[128, 64]",15,10,0.05,0.5,10,0.05,0.0001,tanh,True,1.0,0.001,"[1, 8]",[5],[2],[2],10,10,0.05,,,,,direct,cost,False
